Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1792.1034790963458
FDW14,OUT017,1467.401517623628
NCN55,OUT010,1882.3819717312726
FDQ58,OUT017,2621.1189433278632
FDY38,OUT027,5138.4997569633415
FDH56,OUT046,2005.2313865766919
FDL48,OUT018,596.215989592718
FDC48,OUT027,2783.1241720437683
FDN33,OUT045,1506.4998182022537
FDA36,OUT017,3129.90011922564
FDT44,OUT017,2059.5724072343874
FDQ56,OUT045,1347.9073143292626
NCC54,OUT019,1867.7359365586162
FDU11,OUT049,2013.7118490810972
DRL59,OUT013,878.6869479072338
FDM24,OUT049,2511.293204890375
FDI57,OUT045,3277.944149620962
DRC12,OUT018,2751.9712916194258
NCM42,OUT027,3186.6159273944795
FDA46,OUT010,1117.9047842009604
FDA31,OUT013,2832.985910278716
NCJ31,OUT035,3829.0101584190124
FDG52,OUT046,787.4039181846601
NCL19,OUT019,374.326353360957
FDS10,OUT035,2965.09763635986
FDX22,OUT010,1458.4610535110696
NCF19,OUT035,866.9069407604984
NCE06,OUT046,2574.014635067899
DRC27,OUT046,3874.33898996019
FDE21,OUT035,1981.3423207090236
NCR42,OUT019,-1370.5965072872496
FDX51,OUT018,2874.2316299005033
NCR06,OUT018,421.0256639704312
FDU31,OUT027,4982.829189834854
FDU59,OUT017,2755.594745210852
FDR03,OUT027,4759.829719973772
FDS49,OUT027,2779.3455340417713
FDD48,OUT010,-67.0949391413451
NCF18,OUT017,3141.9325898198585
NCD43,OUT027,3092.3673855167726
NCD54,OUT018,1981.6540393999167
FDY19,OUT010,-37.22967793540738
NCY54,OUT017,2836.0886049425317
NCL19,OUT018,2027.9647414025967
FDP23,OUT010,1543.8982737110637
FDC26,OUT013,1843.5802954133396
FDR14,OUT010,-1087.5569211909606
NCS41,OUT035,3000.1855664486648
FDF41,OUT035,3969.9678227972763
FDU34,OUT046,2034.2221664108947
DRH11,OUT046,994.5291933332046
FDM03,OUT013,1732.0882605056104
FDS31,OUT017,3098.37783284903
FDJ20,OUT017,2164.055711673209
FDV44,OUT027,4526.44955345233
FDG02,OUT049,3092.8074480789946
FDA09,OUT013,2938.646872785961
FDT04,OUT013,610.8322584168054
FDL58,OUT019,2280.947207765028
FDE52,OUT045,1414.4617387418693
FDW12,OUT035,2464.36407100255
FDL51,OUT017,3549.977735105538
NCY42,OUT027,3683.3208790227072
FDR07,OUT017,1729.8141719397536
FDN40,OUT045,2342.409831391633
FDB35,OUT027,2984.5203608769807
FDA22,OUT017,2850.3877190298954
NCL06,OUT046,4150.406548809129
FDI35,OUT013,2944.1675692099816
NCW42,OUT045,3407.691231657882
NCX06,OUT049,2886.3987052724115
FDC37,OUT027,3200.3116558193287
FDZ14,OUT018,1696.4593463970232
DRG49,OUT049,3900.6173560099123
NCG06,OUT045,3956.2707404299726
DRC36,OUT045,2722.8260021246533
FDV21,OUT019,31.853563646232942
FDB53,OUT046,2367.8625368424982
DRP47,OUT019,2044.2006998771103
FDA14,OUT013,2273.3986135730665
DRC24,OUT035,2514.8027946558577
FDW21,OUT018,1403.4432830866717
NCH29,OUT046,1622.4312828789552
FDU58,OUT013,3073.489536933019
FDY27,OUT017,2936.7546763733553
FDV56,OUT035,1940.2526548292226
FDT59,OUT046,3681.8133564931923
FDB23,OUT046,3701.23226862149
FDR49,OUT045,722.0449432910536
FDB03,OUT010,1863.402858481626
FDN39,OUT045,2637.764230130095
FDX02,OUT027,4941.278709529026
FDQ16,OUT027,3163.4816654262395
FDU35,OUT018,1333.9819081832102
NCT29,OUT013,1978.9454286956316
FDZ27,OUT046,830.4240156507149
FDN57,OUT017,2376.4364182827558
FDA03,OUT018,2053.59900116513
FDZ36,OUT045,2933.9790163153084
NCU05,OUT013,1343.1236827984394
FDT39,OUT018,2197.6348178463522
FDK60,OUT017,1745.366421290586
FDZ25,OUT017,2914.1097910373937
FDG12,OUT046,1965.795889443063
DRB01,OUT019,1145.0668897242285
NCC43,OUT027,5360.397132595157
FDX13,OUT019,2059.183525898072
FDM22,OUT049,975.3497879104252
FDJ03,OUT027,2267.575625721016
FDU14,OUT018,3645.723916295872
FDB33,OUT010,669.3385065428447
FDP27,OUT046,3058.7133355996775
FDO38,OUT010,-646.7109909632418
FDE28,OUT027,5113.723438224188
FDO27,OUT035,1652.170443889685
DRL23,OUT027,3189.715647692603
FDS28,OUT046,988.598143840165
FDX24,OUT013,1546.6732575022907
FDZ02,OUT035,1668.976331357655
FDL46,OUT045,1807.4491882311268
FDS60,OUT027,4298.882808424169
NCO06,OUT017,659.3921618233435
FDO16,OUT035,1463.3281545775826
FDC60,OUT049,1500.3242946198152
FDA48,OUT018,3193.960898853169
FDZ36,OUT027,4471.355703055917
FDK27,OUT045,1893.512769922585
FDW23,OUT018,383.6585589471797
FDM14,OUT018,1537.037166805996
FDM14,OUT013,1814.5987719792465
FDW60,OUT018,2610.9477886696986
FDE21,OUT013,1945.3056696973945
NCM42,OUT035,1833.969197623548
FDY59,OUT010,-379.08643326918536
DRI49,OUT049,1310.788753835921
FDT28,OUT019,481.557485877609
FDQ22,OUT018,396.9944446423906
FDR60,OUT049,1247.0639663229085
FDC50,OUT019,-415.8756335957587
FDV24,OUT013,2443.133167900087
DRF48,OUT010,1080.9886447005265
FDQ47,OUT046,695.0517916120298
DRN36,OUT049,1646.4539768345858
NCY06,OUT035,2118.5378713772225
FDE52,OUT035,1563.654865993769
NCB54,OUT045,1967.9038951142138
NCF31,OUT035,2497.9461117146566
FDJ08,OUT027,4478.1275911245175
NCC07,OUT017,1821.8421416986384
NCD19,OUT027,2320.669414516684
FDL46,OUT049,1967.1251512189483
FDM20,OUT045,3869.8885888593068
NCI06,OUT010,919.3950223646534
DRM11,OUT035,4195.579243451459
NCH07,OUT018,2200.7267769799655
FDS23,OUT013,2090.709186921711
FDO49,OUT018,608.5721117289359
FDS35,OUT049,1118.256451802008
DRK39,OUT045,1247.830251092906
DRI39,OUT049,965.0834951797442
FDV04,OUT017,2651.1149069491075
NCN14,OUT035,2963.911537062653
FDH08,OUT013,3734.0428877330705
FDS20,OUT046,2990.682977761171
FDV40,OUT049,1267.7890684805607
FDZ48,OUT010,-147.86122992727906
FDS24,OUT027,2913.5620059722423
FDK44,OUT049,2835.1201682344836
FDS48,OUT045,2357.5532462973206
FDK26,OUT010,1138.7274750108918
FDD23,OUT045,3009.799958381147
NCH54,OUT017,2639.725885574677
NCP14,OUT010,-261.8510396119236
FDM60,OUT010,-1194.2086931460071
FDV24,OUT017,2546.2584218669363
FDH08,OUT018,3391.1028868731664
FDS12,OUT027,3460.1152475935814
FDR39,OUT027,4312.782847253387
FDP12,OUT027,2123.901036945099
DRF60,OUT027,5163.7672332110815
FDC09,OUT035,1839.756989722373
FDF50,OUT018,2931.9013131262473
FDG28,OUT035,3973.854883467866
NCE19,OUT017,1018.1714188110054
NCM53,OUT010,-183.42662186503003
NCN18,OUT049,1819.1405747076496
FDF32,OUT035,3283.7793790384603
FDF11,OUT013,3902.3491313898703
DRI59,OUT049,3624.3237710884714
NCG54,OUT035,2751.1863768640615
FDM44,OUT046,1725.3320489296748
FDT57,OUT018,3461.7117432859814
FDV24,OUT046,2450.3791492441524
FDI50,OUT019,1788.3165320823027
FDS09,OUT035,983.3568381685764
NCC31,OUT027,3888.1305979242898
FDQ07,OUT019,1626.5163581672678
FDC22,OUT017,3201.1931182307308
FDZ56,OUT046,2782.7630830659327
FDZ40,OUT019,-1021.065664870941
FDS46,OUT027,3388.5869104509766
DRD24,OUT045,2168.269634705386
FDV45,OUT017,3138.5982881357195
FDL26,OUT045,2443.0371504624927
FDA56,OUT018,1746.8136269804672
FDN27,OUT046,1948.9691447541409
FDM20,OUT049,3963.264171404633
FDO16,OUT017,1479.5840689116594
FDL03,OUT035,3252.3656170101895
FDE58,OUT046,1918.3062654646783
FDI02,OUT027,3307.9412028290535
NCC55,OUT019,-1310.646852538237
FDR03,OUT018,3044.2673659479333
FDB14,OUT017,1695.624245361556
FDR45,OUT013,3808.727029845337
NCN07,OUT017,2208.435287455053
FDM51,OUT019,-189.3141221824044
FDT52,OUT027,5339.4941608038935
FDL26,OUT046,2528.0457253014465
NCZ42,OUT046,3803.032849494877
DRI47,OUT019,445.3111477521452
FDW40,OUT013,2288.777033933802
FDN34,OUT046,2791.487775296715
FDS01,OUT035,2972.8594245474233
NCG55,OUT045,1773.5537850173132
FDC11,OUT035,1516.5644447579689
FDX35,OUT018,3353.5786452447355
NCB06,OUT046,2582.965747169452
FDR09,OUT019,2183.2913106995547
FDC53,OUT017,1699.6497183700703
FDY45,OUT013,4069.4491893044324
FDA22,OUT010,782.5434618277068
FDE02,OUT035,1649.4267312577722
FDW21,OUT045,1621.9753430963174
FDV34,OUT046,1302.20835060018
FDS59,OUT049,1862.5076460036216
NCW17,OUT017,2190.673824224097
NCK54,OUT046,1902.301605019049
FDG17,OUT019,1986.966803146177
FDG35,OUT017,2980.3802580885967
FDD08,OUT010,-1222.8146047023329
NCO07,OUT017,3483.08104907714
FDJ10,OUT010,254.64696668587567
FDW36,OUT017,1822.494607113811
FDW21,OUT010,-217.24774401633476
FDY19,OUT017,2072.2743429671973
DRE03,OUT013,789.5469834266114
NCC55,OUT049,666.1847985030472
FDH52,OUT010,-842.5090909320716
FDO09,OUT017,4334.711129933945
FDU43,OUT045,3797.770985808631
FDX09,OUT010,856.1112528243393
FDH40,OUT019,-543.8292529249738
FDW58,OUT017,1829.9372298186063
FDC47,OUT017,3710.0485704307357
NCR41,OUT035,1593.3024696458742
DRG49,OUT035,3939.33484079178
FDC52,OUT027,3896.4353637675376
FDY13,OUT046,1302.9953982573497
FDY35,OUT013,835.8047417346388
FDI35,OUT017,3062.980122667839
NCU18,OUT049,2273.794726045715
FDY33,OUT018,2272.218931664378
FDC15,OUT027,3883.3977748651087
FDU01,OUT049,3097.556301460121
NCU42,OUT046,2721.4001985499635
NCV29,OUT018,2549.0074233829655
NCY30,OUT017,3016.3140348298184
FDQ46,OUT049,1835.8673779155797
FDG58,OUT027,3927.896385214626
FDK33,OUT017,3523.548124921741
NCD07,OUT045,1763.1917472975474
NCX29,OUT027,3735.881521458592
NCT42,OUT013,2374.5449057802034
DRN59,OUT035,870.2728359998582
FDI44,OUT035,1404.622096654537
FDA45,OUT049,2842.1381229851686
FDP31,OUT045,1061.1354788619356
FDY01,OUT046,1936.0767728177161
FDT09,OUT018,1897.9039650111517
DRH03,OUT027,2961.1682291768375
FDA36,OUT018,2708.56322121057
NCF31,OUT017,2554.605100045388
FDG14,OUT049,2539.7967931220774
FDG28,OUT027,5348.272063376877
FDU14,OUT049,3968.8112256557797
FDY47,OUT019,249.97614445030922
FDI56,OUT049,1541.5392187502584
DRD01,OUT013,985.1873109612498
FDM22,OUT046,1012.4290138045762
FDH33,OUT013,719.4331208243821
DRZ24,OUT013,1902.399048786363
NCQ38,OUT046,1735.2742642532685
FDO16,OUT027,2801.6374611412175
FDU07,OUT027,3862.411821552494
NCB07,OUT013,3070.825370393315
FDU48,OUT045,2053.3948477720987
NCM43,OUT045,2558.197050337112
FDR31,OUT010,473.0452790225827
DRK49,OUT018,402.3944174826611
NCI30,OUT010,1909.9078742846323
DRD60,OUT017,2999.313401989537
NCG19,OUT046,3701.29587181205
FDH12,OUT035,1753.208178873174
FDM32,OUT035,1623.6682365700835
FDM27,OUT035,2600.5832375915343
NCU53,OUT027,4095.5870822813595
NCQ18,OUT046,1587.5664584223996
FDS10,OUT013,2873.3885450110683
FDB33,OUT027,4003.602377061965
FDI12,OUT013,1459.6317988595401
NCW42,OUT013,3496.328735765521
NCC06,OUT018,1753.7723290313006
FDW02,OUT017,2173.4752819625865
NCD43,OUT017,1801.3880029837892
FDM57,OUT018,1104.4162707125215
FDA58,OUT017,3867.154877086141
FDK56,OUT046,3000.7200392047234
FDP52,OUT045,3627.9733122905745
FDW20,OUT018,1718.7707646990457
FDS52,OUT049,1663.7263643149054
NCT29,OUT018,1635.9356743014796
NCL54,OUT013,2793.683079042734
FDC05,OUT045,3088.038794612323
FDF34,OUT035,3269.941747600242
FDP03,OUT027,3488.489478471107
FDD32,OUT010,-480.4206000518607
FDZ10,OUT045,1989.4342363200267
